key,name,code,technology,description,retailPrice,optionalLink
component-01,Component 01,AAA-000,Technology 01,Sample Component,EUR 16.0,null
component-02,Component 02,AAA-000-A,Technology 02,Sample Component,EUR 15.5,https://en.wikipedia.org/wiki/Component
component-03,Component 03,BBB-111,Technology 03,Sample Component,EUR 123.7,null
component-04,Component 04,BBB-111-B,Technology 04,Sample Component,EUR 987.67,https://en.wikipedia.org/wiki/Component
component-05,Component 05,CCC-222,Technology 05,Sample Component,EUR 1.0,null
component-06,Component 06,CCC-222-C,Technology 06,Sample Component,EUR 23.45,https://en.wikipedia.org/wiki/Component
component-07,Component 07,DDD-333,Technology 07,Sample Component,EUR 12.67,null
component-08,Component 08,DDD-333-D,Technology 08,Sample Component,EUR 764.78,https://en.wikipedia.org/wiki/Component
component-09,Component 09,EEE-444,Technology 09,Sample Component,EUR 45.61,null
component-10,Component 10,EEE-444-E,Technology 10,Sample Component,EUR 99.99,https://en.wikipedia.org/wiki/Component
component-11,Component 11,FFF-555,Technology 11,Sample Component,EUR 22.22,null
component-12,Component 12,FFF-555-F,Technology 12,Sample Component,EUR 50.50,https://en.wikipedia.org/wiki/Component
component-13,Component 13,GGG-666,Technology 13,Sample Component,EUR 45.45,null
component-14,Component 14,GGG-666-G,Technology 14,Sample Component,EUR 1.01,https://en.wikipedia.org/wiki/Component
